url,status_code,redirect_url,error,title,title_length,meta_description,meta_description_length,meta_robots,x_robots_tag,canonical,canonical_matches_url,lang,hreflang_count,h1_count,h1_text,h2_count,word_count,images_total,images_without_alt,schema_types,open_graph_title,open_graph_description,faq_count,tables_count,lists_count,links_internal,links_external,page_speed_hint,scraped_at
https://gastroshows.es/,200,,,Experiencias gastronómicas en Barcelona. Cenas con menú degustación,67,"Cenas Clandestinas, Shows en Casa, Team Building, Talleres y Cursos de Cocina Para Grupos y Empresas -GASTRONOMÍA, SABORES Y RECETAS",132,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/,SI,es,0,0,,5,470,15,10,,GASTROSHOWS: ACTIVIDADES GASTRONÓMICAS EN BARCELONA,"✅ ¡Elije tu actividad gastronómica! que une alta cocina, música y espectáculo. ¿No sabes que hacer? Ven a nuestro show gastronómico en Barcelona ?",0,0,2,23,3,315.2 KB,2026-05-12T11:59:21.117454Z
https://gastroshows.es/mejores-restaurantes-menu-degustacion-barcelona/,200,,,Los mejores restaurantes con menú degustación de Barcelona,58,"En este post encontrarás los mejores restaurantes con menú degustación de Barcelona que no te puedes perder, ¡echa un vistazo!",126,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/mejores-restaurantes-menu-degustacion-barcelona/,SI,es,0,1,Los mejores restaurantes con menú degustación Barcelona,9,1016,17,8,,Los mejores restaurantes con menú degustación de Barcelona,"En este post encontrarás los mejores restaurantes con menú degustación de Barcelona que no te puedes perder, ¡echa un vistazo!",0,0,2,27,19,367.4 KB,2026-05-12T11:59:23.525186Z
https://gastroshows.es/cena-clandestina-5/,200,,,Cena clandestina en Barcelona. Descubre una nueva experiencia,61,La cena clandestina de Barcelona! ✅ Tendréis que resolver enigmas y pistas para llegar. una cena original par ir en pareja o amigos,131,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/cena-clandestina-5/,SI,es,0,1,La cena clandestina,10,1145,7,4,,GASTROSHOWS: ACTIVIDADES GASTRONÓMICAS EN BARCELONA,"✅ ¡Elije tu actividad gastronómica! que une alta cocina, música y espectáculo. ¿No sabes que hacer? Ven a nuestro show gastronómico en Barcelona ?",0,0,4,21,2,363.2 KB,2026-05-12T11:59:25.433084Z
https://gastroshows.es/restaurantes-de-barcelona-con-estrella-michelin-menu-mediodia/,200,,,El mejor listado de restaurantes de Barcelona con estrella y económicos,71,¿No te habías enterado que es posible comer en estos restaurantes con estrella de Barcelona por menos de 50€? Importante reservar mesa!,135,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/restaurantes-de-barcelona-con-estrella-michelin-menu-mediodia/,SI,es,0,2,¡6 restaurantes de Barcelona con estrella Michelín por menos de 50€! | 4 Comentarios,11,1120,20,10,,El mejor listado de restaurantes de Barcelona con estrella y económicos,¿No te habías enterado que es posible comer en estos restaurantes con estrella de Barcelona por menos de 50€? Importante reservar mesa!,0,0,3,21,4,370.3 KB,2026-05-12T11:59:27.839432Z
https://gastroshows.es/los-mejores-menus-degustacion-para-regalar/,200,,,Los mejores menús degustación para regalar en Barcelona,55,En este post encontrarás los mejores menús degustación para regalar en Barcelona que te harán triunfar. Compartir es vivir. ¡Echa un vistazo!,141,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/los-mejores-menus-degustacion-para-regalar/,SI,es,0,2,LOS MEJORES MENÚS DEGUSTACIÓN PARA REGALAR | 1 Comentario,8,966,15,7,,Los mejores menús degustación para regalar en Barcelona,En este post encontrarás los mejores menús degustación para regalar en Barcelona que te harán triunfar. Compartir es vivir. ¡Echa un vistazo!,0,0,2,28,14,360.3 KB,2026-05-12T11:59:29.963480Z
https://gastroshows.es/cenas-espectaculo-barcelona-secreta/,200,,,Las 6 cenas con espectáculo en Barcelona (y una es secreta),59,"En este post encontrarás las 6 mejores cenas con espectáculo en Barcelona (y una es secreta), ¡echa un vistazo!",111,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/cenas-espectaculo-barcelona-secreta/,SI,es,0,2,Las 6 mejores cenas con espectáculo en Barcelona (y una es secreta) | Tablao de Carmen: magia flamenca en el Poble Espanyol,9,736,17,7,,Las 6 cenas con espectáculo en Barcelona (y una es secreta),"En este post encontrarás las 6 mejores cenas con espectáculo en Barcelona (y una es secreta), ¡echa un vistazo!",0,0,2,22,20,365.4 KB,2026-05-12T11:59:31.899019Z
https://gastroshows.es/bares-tapas-barcelona-baratos/,200,,,Bares tapas Barcelona baratos - ¡Por menos de 20€!,50,En este post encontrarás bares de tapas de Barcelona baratos donde disfrutarás de buenas tapas por menos de 20€. ¡Para llorar de gusto!,135,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/bares-tapas-barcelona-baratos/,SI,es,0,1,Bares tapas barcelona baratos,16,1558,20,13,,Bares tapas Barcelona baratos - ¡Por menos de 20€!,En este post encontrarás bares de tapas de Barcelona baratos donde disfrutarás de buenas tapas por menos de 20€. ¡Para llorar de gusto!,0,0,2,23,13,366.8 KB,2026-05-12T11:59:33.719523Z
https://gastroshows.es/receta-de-fricando-de-ternera/,200,,,Receta de fricandó de ternera con todos los trucos y consejos,61,Receta de fricandó de ternera desde cómo comprar la carne hasta el tipo de setas que puedes utilizar. ¡La receta de fricandó de la abuela.,138,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/receta-de-fricando-de-ternera/,SI,es,0,1,Receta de fricandó de ternera,6,1055,11,6,,Receta de fricandó de ternera con todos los trucos y consejos,Receta de fricandó de ternera desde cómo comprar la carne hasta el tipo de setas que puedes utilizar. ¡La receta de fricandó de la abuela.,0,0,6,20,2,355.4 KB,2026-05-12T11:59:35.636270Z
https://gastroshows.es/regalo-experiencia-gastronomica/,200,,,"Regalo experiencia gastronómica en Barcelona, vívela en Gastroshows ®",69,"Regalo experiencia gastronómica en Barcelona única y original donde se unen gastronomia, maridaje de vinos y muchas sorpresas. Una cena que vas a recordar!",155,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/regalo-experiencia-gastronomica/,SI,es,0,1,regala una experiencia gastronómica,13,675,8,5,,GASTROSHOWS: Regala una experiencia gastrónomica unica,"✅ regala una cena clandestina que une alta cocina, música y espectáculo. ¿No sabes qué hacer? Ven a nuestro show gastronómico en Barcelona ?",0,0,2,18,6,323.4 KB,2026-05-12T11:59:37.476314Z
https://gastroshows.es/cheap-tapas-bars-in-barcelona/,200,,,Cheap Tapas Bars Barcelona - For less than 20€!,47,In this post you will find cheap tapas bars in Barcelona where you will enjoy good tapas for less than 20€. To cry with pleasure!,129,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/en/cheap-tapas-bars-in-barcelona/,NO,es,0,1,Bars tapas barcelona cheap,16,1560,20,13,,Cheap Tapas Bars Barcelona - For less than 20€!,In this post you will find cheap tapas bars in Barcelona where you will enjoy good tapas for less than 20€. To cry with pleasure!,0,0,2,23,13,366.5 KB,2026-05-12T11:59:39.302504Z
https://gastroshows.es/the-best-restaurants-with-tasting-menu-in-barcelona/,200,,,The best restaurants with tasting menu in Barcelona,51,"In this post you will find the best restaurants with tasting menu in Barcelona that you can not miss, take a look!",114,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/en/the-best-restaurants-with-tasting-menu-in-barcelona/,NO,es,0,1,The best restaurants with tasting menu Barcelona,9,1051,17,8,,The best restaurants with tasting menu in Barcelona,"In this post you will find the best restaurants with tasting menu in Barcelona that you can not miss, take a look!",0,0,2,27,19,367.4 KB,2026-05-12T11:59:41.179497Z
https://gastroshows.es/alquiler-espacio-gastronomico-en-barcelona/,200,,,Alquiler espacio gastronómico en Barcelona con cocina TPB equipada,66,"El mejor alquiler de espacio gastronómico en Barcelona, privado y totalmente equipado para celebrar tus eventos con quien quieras.",130,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/alquiler-espacio-gastronomico-en-barcelona/,SI,es,0,1,ALQUILER ESPACIO GASTRONÓMICO EN BARCELONA,9,724,10,6,,Alquiler de espacio gastronómico en Barcelona único,Celebra tus reuniones o eventos en un ambiente exclusivo. ¡Ven a vernos!. Un espacio para eventos,0,0,2,21,5,370.7 KB,2026-05-12T11:59:43.713864Z
https://gastroshows.es/6-michelin-starred-restaurants-in-barcelona-for-less-than-50e/,200,,,The best list of starred and cheap restaurants in Barcelona,59,Haven't you heard that it is possible to eat at these starred restaurants in Barcelona for less than 50€? Important to reserve a table!,135,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/en/6-michelin-starred-restaurants-in-barcelona-for-less-than-50e/,NO,es,0,1,6 Michelin-starred restaurants in Barcelona for less than 50€!,11,981,16,10,,The best list of starred and cheap restaurants in Barcelona,Haven't you heard that it is possible to eat at these starred restaurants in Barcelona for less than 50€? Important to reserve a table!,0,0,2,21,3,363.6 KB,2026-05-12T11:59:45.634692Z
https://gastroshows.es/tarjeta-regalo-cena-barcelona/,200,,,Tarjeta regalo cena Barcelona - Una experiencia gastronómica única,66,"Con la tarjeta regalo cena Barcelona sorprenderás con una auténtica experiencia llena de gastronomía, emociones y sorpresas. ¡Regala algo que no olvidarán!",155,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/tarjeta-regalo-cena-barcelona/,SI,es,0,1,TARJETA REGALO CENA Barcelona,11,775,8,4,,Tarjeta regalo cena Barcelona - Una experiencia gastronómica única,"Con la tarjeta regalo cena Barcelona sorprenderás con una auténtica experiencia llena de gastronomía, emociones y sorpresas. ¡Regala algo que no olvidarán!",0,0,2,21,3,438.6 KB,2026-05-12T11:59:48.077196Z
https://gastroshows.es/hacer-algo-diferente-en-barcelona/,200,,,Hacer algo diferente en Barcelona. 6 planes que no te puedes saltar!,68,"¿Buscas hacer algo diferente en Barcelona? Aquí te dejamos un post con los planes más originales y sorprendentes para ti, tu amigos y tu pareja ❤️",146,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/hacer-algo-diferente-en-barcelona/,SI,es,0,1,Hacer algo diferente en Barcelona,8,964,11,10,,Hacer algo diferente en Barcelona. 6 planes que no te puedes saltar!,"¿Buscas hacer algo diferente en Barcelona? Aquí te dejamos un post con los planes más originales y sorprendentes para ti, tu amigos y tu pareja ❤️",0,0,2,15,5,306.4 KB,2026-05-12T11:59:50.328222Z
https://gastroshows.es/tarjeta-regalo-cena-para-dos/,200,,,tarjeta regalo cena para dos - Gastroshows - experiencias gastronómicas,71,"✅ descubre la tarjeta regalo cena para dos y vive una experiencia unica y donde se unen gastronomia, maridaje de vinos, una cena que vas a recordar",147,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/tarjeta-regalo-cena-para-dos/,SI,es,0,1,TARJETA REGALO CENA PARA DOS,11,779,8,4,,tarjeta regalo cena para dos - Gastroshows - experiencias gastronómicas,"✅ descubre la tarjeta regalo cena para dos y vive una experiencia unica y donde se unen gastronomia, maridaje de vinos, una cena que vas a recordar",0,0,2,20,3,380.3 KB,2026-05-12T11:59:52.717246Z
https://gastroshows.es/mejores-restaurantes-cocina-tradicional-catalana-barcelona/,200,,,Mejores restaurantes de cocina tradicional catalana en Barcelona,64,"En este post encontrarás los mejores restaurantes de cocina tradicional catalana en Barcelona que no te puedes perder, ¡echa un vistazo!",136,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/mejores-restaurantes-cocina-tradicional-catalana-barcelona/,SI,es,0,1,Los mejores restaurantes de cocina tradicional catalana en Barcelona,8,1196,16,8,,Mejores restaurantes de cocina tradicional catalana en Barcelona,"En este post encontrarás los mejores restaurantes de cocina tradicional catalana en Barcelona que no te puedes perder, ¡echa un vistazo!",0,0,2,27,18,366.2 KB,2026-05-12T11:59:55.031594Z
https://gastroshows.es/restaurantes-playa-barcelona/,200,,,Los mejores restaurantes de playa Barcelona. Parada obligatoria,63,"En este post encontrarás los mejores restaurantes en la playa de Barcelona que no te puedes perder, ¡echa un vistazo y disfruta del solecito!",141,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/restaurantes-playa-barcelona/,SI,es,0,1,Los mejores restaurantes playa barcelona,7,1090,16,7,,Los mejores restaurantes de playa Barcelona. Parada obligatoria,"En este post encontrarás los mejores restaurantes en la playa de Barcelona que no te puedes perder, ¡echa un vistazo y disfruta del solecito!",0,0,2,22,17,365.4 KB,2026-05-12T11:59:57.331093Z
https://gastroshows.es/cena-original-en-barcelona/,200,,,cena original en Barcelona al mejor precio ⭐ Gastroshows ®,58,"Di adiós a las clásicas cenas y vive una cena original en Barcelona especialmente para ti. Cenas privadas, aniversarios, cocina en directo, degustació...",153,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,https://gastroshows.es/cena-original-en-barcelona/,SI,es,0,1,cena original en barcelona,19,854,17,16,,cena original en Barcelona al mejor precio ⭐ Gastroshows ®,"Di adiós a las clásicas cenas y vive una cena original en Barcelona especialmente para ti. Cenas privadas, aniversarios, cocina en directo, degustació...",0,0,2,27,2,311.1 KB,2026-05-12T11:59:59.610088Z
